"","ï..ST_CASE","STATE_NAME","CITY_NAME","COUNTY_NAME","RUR_URB_NAME","TYP_INT_NAME","TWAY_ID","TWAY_ID2","HARM_EV_NAME","FATALS","DRUNK_DR","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","MONTH_NAME","DAY_WEEK_NAME","WEATHER_NAME","LGT_COND_NAME","LATITUDE","LONGITUD"
"15",120282,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-60","","Guardrail Face",1,1,2,2,0,0,0,5,5,"January","Monday","Clear","Dark - Lighted",27.9675,-82.568
"16",120294,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Four-Way Intersection","US-92","CYPRESS ST","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"March","Wednesday","Clear","Dark - Lighted",27.9521,-82.5056
"17",120299,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Four-Way Intersection","CR-579","SLIGH AVE","Motor Vehicle in Transport",1,2,2,2,0,0,0,4,4,"February","Sunday","Clear","Dark - Lighted",28.0106,-82.3024
"18",120300,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","US-301","BALM RIVERVIEW RD","Motor Vehicle in Transport",1,0,6,6,0,0,0,11,11,"March","Friday","Clear","Daylight",27.7701,-82.3348
"19",120301,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","FLETCHER  AV","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"January","Saturday","Clear","Dark - Lighted",28.0692,-82.3886
"20",120302,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","T-Intersection","CR-589","FLORA ST","Rollover/Overturn",1,1,2,2,0,0,0,2,2,"January","Tuesday","Clear","Dark - Lighted",28.0122,-82.5454
"21",120303,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","RIVERVIEW DR","","Tree (Standing Only)",1,1,1,1,0,0,0,2,2,"January","Wednesday","Clear","Dark - Not Lighted",27.8637,-82.3811
"22",120304,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-618","","Motor Vehicle in Transport",2,1,3,3,0,0,0,4,4,"March","Saturday","Clear","Dark - Lighted",27.9281,-82.3336
"23",120305,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","MORRIS BRIDGE RD","","Motor Vehicle in Transport",1,0,2,2,0,0,0,3,3,"March","Thursday","Clear","Daylight",28.1648,-82.2656
"24",120306,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","OLD MULBERRY RD","","Utility Pole/Light Support",1,1,1,1,0,0,0,2,2,"March","Friday","Clear","Dark - Not Lighted",27.9622,-82.064
"25",120307,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","LITHIA PINECREST RD","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"March","Saturday","Cloudy","Daylight",27.9242,-82.2708
"26",120308,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","JOE EBERT RD","","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"March","Friday","Cloudy","Dark - Not Lighted",28.0361,-82.3073
"27",120358,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Motor Vehicle in Transport",1,0,2,2,0,0,0,3,3,"February","Thursday","Clear","Daylight",27.9401,-82.3298
"28",120361,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-39","","Motor Vehicle in Transport",2,0,3,3,0,0,0,3,3,"March","Friday","Cloudy","Daylight",27.7511,-82.1458
"29",120384,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","T-Intersection","SR-60","PARKER ST","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"March","Saturday","Clear","Dark - Lighted",27.9461,-82.4622
"30",120387,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","WILLIAMS RD","","Traffic Sign Support",1,0,1,1,0,0,0,3,3,"April","Sunday","Cloudy","Dark - Lighted",28.0299,-82.3326
"31",120388,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","BELL SHOALS RD","","Motor Vehicle in Transport",2,1,2,2,0,0,0,3,3,"March","Thursday","Clear","Dark - Not Lighted",27.8616,-82.2692
"32",120406,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Four-Way Intersection","WIGGINS RD","KIRKLAND RD","Motor Vehicle in Transport",1,1,2,2,0,0,0,6,6,"April","Friday","Clear","Daylight",28.004,-82.0679
"33",120427,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41 SR-45","","Pedestrian",1,1,1,1,0,1,1,1,1,"January","Saturday","Clear","Dark - Lighted",27.8395,-82.3816
"34",120489,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-275","","Parked Motor Vehicle (Not in Transport)",1,0,2,1,1,1,3,1,3,"February","Monday","Clear","Dark - Lighted",27.934,-82.5694
"35",120525,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41","","Pedalcyclist",1,0,1,1,0,1,1,1,1,"March","Saturday","Cloudy","Dark - Lighted",27.7677,-82.3927
"36",120547,"FLORIDA","TAMPA","HILLSBOROUGH","Rural","Not an Intersection","SR-574","","Pedestrian",1,0,1,1,0,1,1,1,1,"February","Monday","Clear","Dark - Lighted",27.9813,-82.4795
"37",120548,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","14TH ST","","Pedestrian",1,0,1,1,0,1,1,1,1,"March","Saturday","Clear","Dark - Lighted",27.9757,-82.4442
"38",120549,"FLORIDA","TAMPA","HILLSBOROUGH","Rural","Not an Intersection","INTERBAY BLVD","","Pedalcyclist",1,0,1,1,0,1,1,1,1,"March","Saturday","Clear","Dark - Lighted",27.8793,-82.4956
"39",120550,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-583","","Pedalcyclist",1,0,1,1,0,1,1,1,1,"March","Saturday","Clear","Dark - Lighted",27.9777,-82.4017
"40",120557,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","SINCLAIR HILLS RD","","Pedestrian",1,0,1,1,0,1,1,1,1,"February","Tuesday","Clear","Daylight",28.0915,-82.4327
"41",120558,"FLORIDA","Not Applicable","HILLSBOROUGH","Trafficway Not in State Inventory","Not an Intersection","SOLANO BAY LP","","Pedestrian",1,0,1,1,0,1,1,1,1,"January","Thursday","Rain","Daylight",28.0291,-82.6403
"42",120559,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Four-Way Intersection","CR-587","NIXON RD","Pedestrian",1,0,2,2,0,1,1,3,3,"January","Thursday","Rain","Dark - Lighted",28.0567,-82.5314
"43",120560,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","PARSONS AV","","Pedestrian",1,0,1,1,0,1,1,2,2,"March","Saturday","Clear","Dark - Not Lighted",27.9772,-82.2859
"44",120561,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","BRUCE B DOWNS BL","","Pedestrian",1,0,1,1,0,1,1,1,1,"February","Monday","Clear","Dark - Not Lighted",28.0721,-82.4261
"45",120562,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","NORTHTON GROVES BL","PRIVATE PROPERTY","Parked Motor Vehicle (Not in Transport)",1,0,2,1,1,1,1,1,1,"March","Sunday","Cloudy","Daylight",28.0939,-82.5796
"46",120605,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-597","","Pedestrian",1,0,1,1,0,1,1,1,1,"March","Saturday","Cloudy","Dark - Lighted",28.0771,-82.5067
"47",120610,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Four-Way Intersection","SR-574","17TH ST","Pedestrian",1,0,1,1,0,1,1,3,3,"March","Friday","Clear","Dark - Not Lighted",27.9815,-82.44
"48",120645,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Four-Way Intersection","US-41","TOWAWAY AVE","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"April","Monday","Clear","Dark - Not Lighted",27.9163,-82.4021
"49",120654,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-580","HESPERIDES ST","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"April","Friday","Cloudy","Dark - Lighted",27.9961,-82.5197
"50",120710,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Four-Way Intersection","US-301","BLOOMINGDALE AVE","Motor Vehicle in Transport",1,0,2,2,0,0,0,6,6,"April","Saturday","Clear","Dark - Lighted",27.8938,-82.3377
"51",120746,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-580 BUSCH BLVD","18TH ST","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"April","Tuesday","Clear","Dark - Lighted",28.0325,-82.4387
"52",120762,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41","","Parked Motor Vehicle (Not in Transport)",1,1,2,1,1,0,0,1,1,"April","Friday","Cloudy","Dark - Lighted",27.6821,-82.4757
"53",120801,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","SR-39","","Railway Vehicle",1,0,1,1,0,0,0,2,2,"April","Saturday","Clear","Daylight",28.1003,-82.1421
"54",120803,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","T-Intersection","US-92","CLARK AVE","Motor Vehicle in Transport",1,0,2,2,0,0,0,3,3,"April","Tuesday","Clear","Daylight",27.8937,-82.5122
"55",120838,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Four-Way Intersection","E COLUMBUS DR","I-4 RAMP","Motor Vehicle in Transport",1,0,2,2,0,0,0,3,3,"April","Tuesday","Clear","Dark - Lighted",27.9663,-82.406
"56",120871,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","SR-508","REFLECTIONS CLUB DR","Rollover/Overturn",1,0,2,2,0,0,0,4,4,"April","Saturday","Clear","Dark - Lighted",27.9964,-82.5628
"57",120877,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Pedestrian",1,0,1,1,0,1,1,1,1,"May","Monday","Clear","Daylight",27.7262,-82.3828
"58",120896,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-508","","Pedestrian",1,0,1,1,0,1,1,2,2,"May","Saturday","Clear","Dark - Not Lighted",28.0157,-82.6164
"59",120904,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Four-Way Intersection","BIG BEND RD","CLEMENT PRIDE BL","Motor Vehicle in Transport",1,0,2,2,0,0,0,3,3,"May","Saturday","Clear","Daylight",27.7922,-82.3086
"60",120907,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-676","","Rollover/Overturn",1,0,1,1,0,0,0,1,1,"May","Wednesday","Clear","Daylight",27.9232,-82.3052
"61",120932,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","CR-676A BLOOMINGDALE AVE","","Motor Vehicle in Transport",1,0,2,2,0,0,0,3,3,"May","Friday","Clear","Daylight",27.8936,-82.2842
"62",120935,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Roundabout","MOSAIC DR","BOYETTE RD","Curb",1,0,1,1,0,0,0,1,1,"May","Saturday","Other","Unknown",27.8498,-82.2609
"63",120961,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","FISHHAWK BLVD","","Guardrail End",1,1,1,1,0,0,0,1,1,"May","Friday","Clear","Daylight",27.8539,-82.2147
"64",120974,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-301","","Motor Vehicle in Transport",1,1,2,2,0,0,0,3,3,"April","Monday","Clear","Dark - Not Lighted",27.7592,-82.3351
"65",120978,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","I-75","","Guardrail Face",1,0,1,1,0,0,0,2,2,"May","Thursday","Cloudy","Dark - Not Lighted",28.1496,-82.3869
"66",120979,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-60","","Pedestrian",1,0,1,1,0,1,1,1,1,"May","Saturday","Clear","Dark - Lighted",27.9378,-82.2916
"67",121004,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-275","","Motor Vehicle in Transport",1,0,4,4,0,0,0,7,7,"May","Sunday","Clear","Daylight",27.9557,-82.4673
"68",121007,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41","","Motor Vehicle in Transport",1,2,2,2,0,0,0,2,2,"May","Monday","Clear","Dark - Not Lighted",27.8982,-82.4017
"69",121022,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-582","","Pedestrian",1,0,1,1,0,1,1,1,1,"May","Saturday","Clear","Dark - Not Lighted",28.0541,-82.3354
"70",121050,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","SUNLAKE BLVD","","Live Vehicle",1,0,1,1,0,0,0,1,1,"May","Monday","Clear","Dark - Lighted",28.1654,-82.5007
"71",121062,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","SR-676","DARLINGTON DR","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"May","Thursday","Clear","Dusk",27.9226,-82.3652
"72",121063,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75 RAMP","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"May","Thursday","Cloudy","Daylight",27.9323,-82.3305
"73",121070,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","US-92","PALM DR","Motor Vehicle in Transport",1,0,3,3,0,0,0,3,3,"May","Saturday","Clear","Daylight",27.9238,-82.5059
"74",121100,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","HULSEY RD","HEATHER FIELD DR","Pedalcyclist",1,1,1,1,0,1,1,1,1,"May","Thursday","Clear","Dark - Lighted",28.034,-82.5581
"75",121104,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","PARSONS AV","CLEMONS AVE","Motor Vehicle in Transport",2,0,4,4,0,0,0,6,6,"May","Monday","Clear","Daylight",27.9523,-82.2859
"76",121126,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","US-41","","Pedestrian",1,0,1,1,0,1,1,1,1,"May","Friday","Clear","Daylight",27.9662,-82.4594
"77",121182,"FLORIDA","PLANT CITY","HILLSBOROUGH","Urban","Not an Intersection","US-92","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"June","Wednesday","Clear","Daylight",28.0197,-82.1617
"78",121204,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-508","","Pedestrian",1,0,1,1,0,1,1,1,1,"June","Wednesday","Clear","Dark - Not Lighted",27.9965,-82.5513
"79",121212,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-589","GUNN HWY","Concrete Traffic Barrier",2,0,1,1,0,0,0,2,2,"June","Saturday","Cloudy","Dark - Lighted",28.0567,-82.5696
"80",121217,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-275","","Concrete Traffic Barrier",1,0,1,1,0,0,0,1,1,"June","Wednesday","Cloudy","Dark - Lighted",27.9549,-82.4619
"81",121226,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-574","","Utility Pole/Light Support",1,0,1,1,0,0,0,1,1,"June","Thursday","Cloudy","Daylight",27.9664,-82.3649
"82",121239,"FLORIDA","PLANT CITY","HILLSBOROUGH","Rural","Not an Intersection","CR-39B","","Pedalcyclist",1,0,1,1,0,1,1,1,1,"May","Monday","Clear","Dark - Not Lighted",27.9991,-82.1051
"83",121262,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","T-Intersection","SR-60","LIMONA RD","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"June","Wednesday","Clear","Dark - Lighted",27.9377,-82.3041
"84",121290,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","WILLIAMS RD","","Tree (Standing Only)",1,1,1,1,0,0,0,1,1,"June","Thursday","Cloudy","Dark - Lighted",27.9683,-82.3187
"85",121293,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-579","","Immersion or Partial Immersion",1,1,1,1,0,0,0,1,1,"June","Thursday","Clear","Daylight",27.7006,-82.3018
"86",121294,"FLORIDA","Not Applicable","HILLSBOROUGH","Trafficway Not in State Inventory","T-Intersection","CLIMATE DR","BREEZY DR","Fell/jumped from Vehicle",1,0,1,1,0,0,0,2,2,"June","Sunday","Clear","Dark - Lighted",27.9129,-82.2952
"87",121300,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-580","","Pedestrian",1,0,1,1,0,1,1,1,1,"June","Monday","Clear","Dark - Not Lighted",27.9962,-82.5192
"88",121315,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-582","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"June","Friday","Cloudy","Daylight",28.1447,-82.6024
"89",121338,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-275","","Concrete Traffic Barrier",1,0,1,1,0,0,0,1,1,"June","Friday","Clear","Dark - Lighted",28.0908,-82.4546
"90",121361,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-640 LITHIA PINECREST RD","","Motor Vehicle In-Transport Strikes/Struck by Objects Set in Motion by Another MVIT",1,0,2,2,0,0,0,2,2,"June","Tuesday","Clear","Daylight",27.8506,-82.0769
"91",121379,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-60","","Motor Vehicle in Transport",1,0,2,2,0,0,0,4,4,"July","Sunday","Clear","Dark - Lighted",27.9674,-82.568
"92",121381,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","BALM BOYETTE RD","","Traffic Sign Support",1,1,1,1,0,0,0,1,1,"July","Friday","Other","Dark - Not Lighted",27.777,-82.251
"93",121384,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","BULL FROG CREEK RD","","Pedestrian",1,0,1,1,0,1,1,2,2,"July","Sunday","Clear","Dark - Lighted",27.7973,-82.3523
"94",121388,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"June","Sunday","Cloudy","Dark - Not Lighted",27.892,-82.3485
"95",121399,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-301","","Motor Vehicle in Transport",3,1,4,4,0,0,0,7,7,"July","Saturday","Clear","Dark - Not Lighted",28.0795,-82.2851
"96",121403,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","I-275","","Pedalcyclist",1,1,1,1,0,1,1,1,1,"June","Wednesday","Clear","Daylight",27.9316,-82.5763
"97",121440,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","TAYLOR GILL RD","","Rollover/Overturn",1,0,1,1,0,0,0,2,2,"July","Monday","Clear","Dark - Not Lighted",27.6833,-82.1207
"98",121445,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","SR-60","","Motor Vehicle in Transport",1,0,3,3,0,0,0,3,3,"July","Tuesday","Clear","Daylight",27.9377,-82.2804
"99",121446,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","LIVINGSTON AVE","","Pedestrian",1,0,1,1,0,1,1,1,1,"July","Wednesday","Rain","Dusk",28.0844,-82.4308
"100",121447,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Motor Vehicle in Transport",1,0,3,3,0,0,0,3,3,"July","Friday","Clear","Daylight",28.0416,-82.3508
"101",121452,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","FALKENBURG RD","","Tree (Standing Only)",1,1,1,1,0,0,0,1,1,"July","Wednesday","Cloudy","Daylight",27.8861,-82.3582
"102",121497,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-574","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"July","Sunday","Clear","Dark - Not Lighted",27.9723,-82.3385
"103",121545,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","US-41 SR-45","","Motor Vehicle in Transport",1,1,2,2,0,0,0,2,2,"July","Saturday","Clear","Dark - Lighted",27.9141,-82.4019
"104",121555,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","COOPER RD","","Mail Box",1,0,1,1,0,0,0,2,2,"July","Saturday","Clear","Dusk",28.0741,-82.2163
"105",121559,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Rollover/Overturn",1,0,1,1,0,0,0,1,1,"July","Sunday","Clear","Daylight",27.7197,-82.3835
"106",121580,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","T-Intersection","GIBSONTON DR","VAUGHN ST","Pedestrian",1,0,1,1,0,1,1,2,2,"July","Wednesday","Clear","Dark - Not Lighted",27.8495,-82.3556
"107",121582,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","BEARSS AV","","Pedestrian",1,0,1,1,0,1,1,2,2,"July","Saturday","Clear","Dark - Lighted",28.0803,-82.4287
"108",121620,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Traffic Sign Support",1,0,1,1,0,0,0,1,1,"July","Monday","Clear","Daylight",27.9606,-82.327
"109",121636,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Four-Way Intersection","CR-589","LINEBAUGH AV","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"August","Monday","Clear","Dark - Lighted",28.0446,-82.5827
"110",121647,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-60","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"July","Saturday","Clear","Dark - Lighted",27.9677,-82.5698
"111",121648,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","FOWLER AVE E","","Pedestrian",1,0,1,1,0,1,1,1,1,"August","Tuesday","Rain","Dark - Lighted",28.0545,-82.4303
"112",121649,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Four-Way Intersection","CR-576","KELLY RD","Motor Vehicle in Transport",1,1,2,2,0,0,0,3,3,"August","Monday","Cloudy","Dark - Lighted",27.9817,-82.5649
"113",121662,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","SR-508","","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"August","Monday","Cloudy","Dark - Not Lighted",27.9962,-82.541
"114",121673,"FLORIDA","Not Applicable","HILLSBOROUGH","Rural","Not an Intersection","CR-589","","Pedestrian",1,0,1,1,0,1,1,1,1,"March","Sunday","Clear","Dark - Not Lighted",28.0168,-82.583
"115",121699,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Not an Intersection","I-75","","Tree (Standing Only)",1,1,1,1,0,0,0,1,1,"August","Sunday","Cloudy","Dark - Lighted",28.0536,-82.357
"116",121708,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Not an Intersection","50TH ST","BROADWAY AVE","Pedestrian",1,0,1,1,0,1,1,1,1,"August","Saturday","Clear","Dark - Not Lighted",27.9618,-82.4019
"117",121716,"FLORIDA","TAMPA","HILLSBOROUGH","Urban","Four-Way Intersection","BUSCH BLVD","BROOKS ST","Motor Vehicle in Transport",1,0,2,2,0,0,0,2,2,"August","Tuesday","Clear","Dark - Lighted",28.0327,-82.4455
"118",121757,"FLORIDA","Not Applicable","HILLSBOROUGH","Urban","Four-Way Intersection","BEARSS AV","16TH ST","Pedalcyclist",1,0,1,1,0,1,1,1,1,"August","Friday","Cloudy","Dark - Not Lighted",28.0812,-82.4427
